map_id,layout_a_id,layout_b_id,map_a_layout_id,map_b_layout_id,is_spam,map_a_chosen,map_b_chosen,total_comparisons
map_3,layout_4,layout_3,map_3_layout_4,map_3_layout_3,true,3,1,4
map_4,layout_0,layout_1,map_4_layout_0,map_4_layout_1,false,17,25,42
map_4,layout_0,layout_1,map_4_layout_0,map_4_layout_1,true,7,3,10
map_4,layout_0,layout_2,map_4_layout_0,map_4_layout_2,false,17,17,34
map_4,layout_0,layout_2,map_4_layout_0,map_4_layout_2,true,2,0,2
map_4,layout_0,layout_3,map_4_layout_0,map_4_layout_3,false,11,14,25
map_4,layout_0,layout_3,map_4_layout_0,map_4_layout_3,true,6,0,6
map_4,layout_0,layout_4,map_4_layout_0,map_4_layout_4,false,17,25,42
map_4,layout_1,layout_0,map_4_layout_1,map_4_layout_0,false,22,13,35
map_4,layout_1,layout_0,map_4_layout_1,map_4_layout_0,true,5,1,6
map_4,layout_1,layout_2,map_4_layout_1,map_4_layout_2,false,13,12,25
map_4,layout_1,layout_2,map_4_layout_1,map_4_layout_2,true,2,1,3
map_4,layout_1,layout_3,map_4_layout_1,map_4_layout_3,false,13,18,31
map_4,layout_1,layout_3,map_4_layout_1,map_4_layout_3,true,0,1,1
map_4,layout_1,layout_4,map_4_layout_1,map_4_layout_4,false,15,20,35
map_4,layout_1,layout_4,map_4_layout_1,map_4_layout_4,true,3,1,4
map_4,layout_2,layout_0,map_4_layout_2,map_4_layout_0,false,23,14,37
map_4,layout_2,layout_0,map_4_layout_2,map_4_layout_0,true,4,1,5
map_4,layout_2,layout_1,map_4_layout_2,map_4_layout_1,false,14,9,23
map_4,layout_2,layout_1,map_4_layout_2,map_4_layout_1,true,4,2,6
map_4,layout_2,layout_3,map_4_layout_2,map_4_layout_3,false,25,15,40
map_4,layout_2,layout_3,map_4_layout_2,map_4_layout_3,true,1,0,1
map_4,layout_2,layout_4,map_4_layout_2,map_4_layout_4,false,13,12,25
map_4,layout_2,layout_4,map_4_layout_2,map_4_layout_4,true,2,0,2
map_4,layout_3,layout_0,map_4_layout_3,map_4_layout_0,false,22,15,37
map_4,layout_3,layout_0,map_4_layout_3,map_4_layout_0,true,4,2,6
map_4,layout_3,layout_1,map_4_layout_3,map_4_layout_1,false,21,16,37
map_4,layout_3,layout_1,map_4_layout_3,map_4_layout_1,true,4,1,5
map_4,layout_3,layout_2,map_4_layout_3,map_4_layout_2,false,22,14,36
map_4,layout_3,layout_2,map_4_layout_3,map_4_layout_2,true,3,0,3
map_4,layout_3,layout_4,map_4_layout_3,map_4_layout_4,false,14,19,33
map_4,layout_3,layout_4,map_4_layout_3,map_4_layout_4,true,1,0,1
map_4,layout_4,layout_0,map_4_layout_4,map_4_layout_0,false,13,7,20
map_4,layout_4,layout_0,map_4_layout_4,map_4_layout_0,true,2,0,2
map_4,layout_4,layout_1,map_4_layout_4,map_4_layout_1,false,22,12,34
map_4,layout_4,layout_1,map_4_layout_4,map_4_layout_1,true,3,1,4
map_4,layout_4,layout_2,map_4_layout_4,map_4_layout_2,false,19,19,38
map_4,layout_4,layout_2,map_4_layout_4,map_4_layout_2,true,1,4,5
map_4,layout_4,layout_3,map_4_layout_4,map_4_layout_3,false,9,15,24
map_4,layout_4,layout_3,map_4_layout_4,map_4_layout_3,true,3,2,5
